NMFS.Tracking.Number,Common.Name,Population.Name,NMFS.Final.Determination..Species.,NMFS.Final.Determination..Critical.Habitat.
FPR-2003-2436,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-2436,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, sockeye",Ozette Lake ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, chum",Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, chum",Hood Canal summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-427,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,"Salmon, chum",Hood Canal summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,"Salmon, chum",Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,"Salmon, sockeye",Ozette Lake ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-428,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,"Salmon, sockeye",Ozette Lake ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,"Salmon, chum",Hood Canal summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,"Salmon, chum",Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2003-430,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, chum",Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, chum",Hood Canal summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, coho",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, sockeye",Ozette Lake ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,Steelhead,Puget Sound DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2637,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, chum",Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, chum",Hood Canal summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, coho",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, sockeye",Ozette Lake ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,Steelhead,Puget Sound DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2639,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, coho",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, sockeye",Ozette Lake ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,Steelhead,Puget Sound DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, chum",Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, chum",Hood Canal summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2641,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,"Salmon, sockeye",Ozette Lake ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,"Salmon, chum",Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,"Salmon, chum",Hood Canal summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,"Salmon, coho",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,Steelhead,Puget Sound DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2643,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2672,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2672,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2672,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2672,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2672,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2672,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2672,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2672,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2672,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2672,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2672,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2672,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2672,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2672,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2672,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2674,"Salmon, Chinook",Sacramento River winter-run ESU,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
FPR-2004-2674,"Salmon, Chinook",Snake River fall-run ESU,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
FPR-2004-2674,"Salmon, Chinook",Snake River spring/summer-run ESU,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
FPR-2004-2674,"Salmon, coho",Central California Coast ESU,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
FPR-2004-2674,"Salmon, coho",Oregon Coast ESU,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
FPR-2004-2674,"Salmon, coho",Southern Oregon/Northern California Coast ESU,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
FPR-2004-2674,"Salmon, sockeye",Snake River ESU,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
FPR-2004-2674,Steelhead,Central California Coast DPS,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
FPR-2004-2674,Steelhead,Lower Columbia River DPS,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
