NMFS.Tracking.Number,Common.Name,Population.Name,NMFS.Final.Determination..Species.,NMFS.Final.Determination..Critical.Habitat.
FPR-2004-2674,Steelhead,Middle Columbia River DPS,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
FPR-2004-2674,Steelhead,Northern California DPS,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
FPR-2004-2674,Steelhead,Snake River Basin DPS,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
FPR-2004-2674,Steelhead,Central California Coast DPS,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
FPR-2004-2674,Steelhead,Southern California DPS,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
FPR-2004-2674,Steelhead,Upper Columbia River DPS,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
FPR-2004-2675,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,"Salmon, sockeye",Ozette Lake ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,"Salmon, chum",Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,"Salmon, chum",Hood Canal summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2675,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,"Salmon, chum",Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,"Salmon, chum",Hood Canal summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,"Salmon, sockeye",Ozette Lake ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2676,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2004-2677,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,
FPR-2004-2677,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,
FPR-2004-2677,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,
FPR-2004-2677,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,
FPR-2004-2677,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,
FPR-2004-2677,Steelhead,Southern California DPS,Jeopardy & Adverse Modification,
FPR-2004-2677,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,
FPR-2004-2677,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,
FPR-2004-2677,Steelhead,Puget Sound DPS,Jeopardy & Adverse Modification,
FPR-2004-2677,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,
FPR-2004-2677,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,
FPR-2004-2677,Steelhead,Lower Columbia River DPS,Jeopardy & Adverse Modification,
FPR-2004-2677,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,
FPR-2004-2677,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,
FPR-2004-2677,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,
FPR-2004-2677,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,
FPR-2004-2677,"Salmon, coho",Lower Columbia River ESU,Jeopardy & Adverse Modification,
FPR-2004-2677,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,
FPR-2004-2677,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,
FPR-2004-2677,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,
FPR-2004-2677,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,
FPR-2004-2677,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,
FPR-2004-2677,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,
FPR-2006-6647,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2006-6647,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2006-6647,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2006-6647,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2006-6647,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2006-6647,"Salmon, chum",Hood Canal summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2006-6647,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2006-6647,"Salmon, coho",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2006-6647,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2006-6647,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2006-6647,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2006-6647,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2006-6647,"Salmon, Atlantic",Gulf of Maine DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2006-6647,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2008-4223,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2010-5328,"Whale, fin",,Jeopardy & Adverse Modification,
FPR-2010-5328,"Whale, humpback",,Jeopardy & Adverse Modification,
FPR-2010-5328,"Whale, North Atlantic right",,Jeopardy & Adverse Modification,
FPR-2010-5328,"Whale, sei",,Jeopardy & Adverse Modification,
FPR-2010-5328,"Whale, sperm",,Jeopardy & Adverse Modification,
FPR-2010-5328,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,
FPR-2010-5328,Steelhead,Upper Willamette River DPS,Jeopardy & Adverse Modification,
FPR-2010-5328,"Turtle, Kemp's ridley sea",,Jeopardy & Adverse Modification,
FPR-2010-5328,"Turtle, green sea",Range-wide,Jeopardy & Adverse Modification,
FPR-2010-5328,"Turtle, hawksbill sea",,Jeopardy & Adverse Modification,
FPR-2010-5328,"Turtle, leatherback sea",,Jeopardy & Adverse Modification,
FPR-2010-5328,"Turtle, loggerhead sea",,Jeopardy & Adverse Modification,
FPR-2010-5328,"Abalone, white",,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, Atlantic",Gulf of Maine DPS,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, Chinook",California Coastal ESU,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, Chinook",Central Valley spring-run ESU,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, Chinook",Lower Columbia River ESU,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, Chinook",Puget Sound ESU,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, Chinook",Sacramento River winter-run ESU,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, Chinook",Upper Willamette River ESU,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, chum",Columbia River ESU,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, chum",Hood Canal summer-run ESU,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, coho",Central California Coast ESU,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, coho",Lower Columbia River ESU,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, coho",Oregon Coast ESU,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, coho",Southern Oregon/Northern California Coast ESU,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, sockeye",Ozette Lake ESU,Jeopardy & Adverse Modification,
FPR-2010-5328,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,
FPR-2010-5328,"Sawfish, smalltooth",U.S. DPS,Jeopardy & Adverse Modification,
FPR-2010-5328,"Sea lion, Steller",,Jeopardy & Adverse Modification,
FPR-2010-5328,"Seagrass, Johnson's",,Jeopardy & Adverse Modification,
FPR-2010-5328,"Seal, Guadalupe fur",,Jeopardy & Adverse Modification,
FPR-2010-5328,Steelhead,California Central Valley DPS,Jeopardy & Adverse Modification,
FPR-2010-5328,Steelhead,Central California Coast DPS,Jeopardy & Adverse Modification,
FPR-2010-5328,"Whale, bowhead",,Jeopardy & Adverse Modification,
FPR-2010-5328,"Whale, blue",,Jeopardy & Adverse Modification,
FPR-2010-5328,Vaquita,Gulf of California,Jeopardy & Adverse Modification,
FPR-2010-5328,"Turtle, olive ridley sea",Range-wide,Jeopardy & Adverse Modification,
FPR-2010-5328,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,
FPR-2010-5328,Steelhead,Middle Columbia River DPS,Jeopardy & Adverse Modification,
FPR-2010-5328,Steelhead,Northern California DPS,Jeopardy & Adverse Modification,
FPR-2011-6426,"Whale, humpback",Range-wide,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
FPR-2013-9063,"Whale, gray",Western North Pacific DPS,"Jeopardy, No Adverse Mod",
FPR-2014-9084,"Turtle, hawksbill sea",,"Adverse Mod, No Jeopardy",
FPR-2014-9084,"Turtle, green sea",Florida Breeding Populations,"Adverse Mod, No Jeopardy",
FPR-2014-9084,"Turtle, loggerhead sea",,"Adverse Mod, No Jeopardy",
FPR-2014-9084,"Turtle, leatherback sea",,"Adverse Mod, No Jeopardy",
FPR-2014-9094,"Sturgeon, Gulf",,"Jeopardy, No Adverse Mod",
FPR-2014-9094,"Salmon, Chinook",California Coastal ESU,"Jeopardy, No Adverse Mod",
FPR-2016-9154,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Adverse Modification
FPR-2016-9154,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Adverse Modification
FPR-2016-9154,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Adverse Modification
FPR-2016-9154,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Adverse Modification
FPR-2016-9154,"Coral, elkhorn",Range-wide,"Jeopardy, No Adverse Mod",No Adverse Modification
FPR-2016-9154,"Coral, staghorn",NA,"Jeopardy, No Adverse Mod",No Adverse Modification
FPR-2016-9154,"Coral, Lobed Star",Range-wide,"Jeopardy, No Adverse Mod",
FPR-2016-9154,"Turtle, loggerhead sea",Northwest Atlantic Ocean DPS,"Jeopardy, No Adverse Mod",
FPR-2016-9154,"Coral, Rough Cactus",Range-wide,"Jeopardy, No Adverse Mod",
FPR-2016-9154,"Coral, Boulder Star",Range-wide,"Jeopardy, No Adverse Mod",
FPR-2016-9154,"Turtle, green sea",,"Jeopardy, No Adverse Mod",
FPR-2016-9154,"Turtle, leatherback sea",Range-wide,"Jeopardy, No Adverse Mod",
FPR-2016-9154,"Turtle, Kemp's ridley sea",Range-wide,"Jeopardy, No Adverse Mod",
FPR-2016-9154,"Turtle, hawksbill sea",Range-wide,"Jeopardy, No Adverse Mod",
FPR-2016-9154,"Sturgeon, shortnose",Range-wide,"Jeopardy, No Adverse Mod",
FPR-2016-9154,"Sturgeon, Atlantic",New York Bight DPS,"Jeopardy, No Adverse Mod",
FPR-2016-9154,"Sturgeon, Atlantic",Gulf of Maine DPS,"Jeopardy, No Adverse Mod",
FPR-2016-9154,"Coral, Mountainous Star",Range-wide,"Jeopardy, No Adverse Mod",
FPR-2016-9154,"Coral, Pillar",Range-wide,Jeopardy & Adverse Modification,
FPR-2016-9154,"Whale, killer",Southern Resident,"Adverse Mod, No Jeopardy",Adverse Modification
FPR-2016-9182,"Sturgeon, Atlantic",Gulf of Maine DPS,"Jeopardy, No Adverse Mod",
NER-2000-597,"Sturgeon, shortnose",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-1251,"Whale, North Atlantic right",Western Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-1251,"Whale, humpback",Western North Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-1251,"Whale, fin",Western North Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-1251,"Turtle, leatherback sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-330,"Whale, North Atlantic right",Range-wide,"Jeopardy, No Adverse Mod",
NER-2001-544,"Whale, North Atlantic right",Range-wide,"Jeopardy, No Adverse Mod",
NER-2001-546,"Whale, North Atlantic right",Western Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-546,"Turtle, Kemp's ridley sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-546,"Whale, sperm",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-546,"Whale, sei",Nova Scotia Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-546,"Turtle, green sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-546,"Turtle, hawksbill sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-546,"Turtle, leatherback sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-546,"Turtle, loggerhead sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-546,"Whale, blue",Western North Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-546,"Whale, fin",Western North Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-546,"Whale, humpback",Western North Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-651,"Whale, sperm",North Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-651,"Whale, sei",Nova Scotia Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-651,"Turtle, leatherback sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-651,"Turtle, loggerhead sea",Range-wide,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-651,"Whale, blue",Western North Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-651,"Whale, fin",Western North Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-651,"Whale, humpback",Western North Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2001-651,"Whale, North Atlantic right",Western Atlantic Stock,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NER-2012-1151,"Turtle, leatherback sea",Range-wide,"Jeopardy, No Adverse Mod",
NER-2015-12532,"Sturgeon, Atlantic",Gulf of Maine DPS,"Jeopardy, No Adverse Mod",
NWR-1993-128,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1993-135,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1994-91,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1994-91,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1994-91,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1994-92,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1994-92,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1994-92,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1994-93,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1994-93,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1994-93,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1994-94,"Salmon, Chinook",Snake River spring/summer-run ESU,"Adverse Mod, No Jeopardy",Adverse Modification
NWR-1994-95,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1995-92,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1995-92,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1995-95,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1995-95,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1995-95,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1995-96,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1995-96,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1995-96,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1995-97,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1995-97,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1995-97,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1996-130,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1996-130,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1996-130,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1996-131,"Trout, cutthroat",Umpqua River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1997-1308,"Trout, cutthroat",Umpqua River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1999-1878,"Salmon, Chinook",Upper Columbia River spring-run ESU,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NWR-1999-1878,Steelhead,Upper Columbia River DPS,"Jeopardy, No Adverse Mod","Jeopardy, No Adverse Mod"
NWR-1999-1901,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1999-1901,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1999-1901,"Salmon, chum",Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1999-1901,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1999-1901,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1999-1901,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1999-1901,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1999-1902,Steelhead,Snake River Basin DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1999-1902,Steelhead,Upper Columbia River DPS,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1999-1902,"Salmon, chum",Columbia River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1999-1902,"Salmon, Chinook",Upper Columbia River spring-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1999-1902,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1999-1902,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1999-1902,"Salmon, Chinook",Snake River spring/summer-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1999-1903,Steelhead,Snake River Basin DPS,"Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect
NWR-1999-1903,Steelhead,Lower Columbia River DPS,"Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect
NWR-1999-1909,"Salmon, sockeye",Snake River ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
NWR-1999-1909,"Salmon, Chinook",Snake River fall-run ESU,Jeopardy & Adverse Modification,Jeopardy & Adverse Modification
